CPU_Model,RAM_Capacity_GB,CPU_Freq_MHz,Num_Cores,Total_Threads,Target_Load_Pct,Achieved_Load_Pct,Avg_Power_Watts
Intel Xeon L5520,8.0,2260,8,16,0,0.0,56.7
Intel Xeon E5-2660V2,24.0,2200,20,40,100,100.0,202.0
Intel Xeon E5-2660V2,24.0,2200,20,40,90,90.1,175.0
Intel Xeon E5-2660V2,24.0,2200,20,40,80,79.8,148.0
Intel Xeon E5-2660V2,24.0,2200,20,40,70,70.0,137.0
Intel Xeon E5-2660V2,24.0,2200,20,40,60,60.0,125.0
Intel Xeon E5-2660V2,24.0,2200,20,40,50,50.1,114.0
Intel Xeon E5-2660V2,24.0,2200,20,40,40,40.2,105.0
Intel Xeon E5-2660V2,24.0,2200,20,40,30,30.0,96.4
Intel Xeon E5-2660V2,24.0,2200,20,40,20,19.9,86.9
Intel Xeon E5-2660V2,24.0,2200,20,40,10,10.0,77.1
Intel Xeon E5-2660V2,24.0,2200,20,40,0,0.0,52.0
Intel Xeon E5-2699 v3 2.30 GHz,64.0,2300,36,72,100,99.7,272.0
Intel Xeon E5-2699 v3 2.30 GHz,64.0,2300,36,72,90,90.1,245.0
Intel Xeon E5-2699 v3 2.30 GHz,64.0,2300,36,72,80,79.9,217.0
Intel Xeon E5-2699 v3 2.30 GHz,64.0,2300,36,72,70,70.1,190.0
Intel Xeon E5-2699 v3 2.30 GHz,64.0,2300,36,72,60,59.9,169.0
Intel Xeon E5-2699 v3 2.30 GHz,64.0,2300,36,72,50,50.3,148.0
Intel Xeon E5-2699 v3 2.30 GHz,64.0,2300,36,72,40,40.0,137.0
Intel Xeon E5-2699 v3 2.30 GHz,64.0,2300,36,72,30,30.0,120.0
Intel Xeon E5-2699 v3 2.30 GHz,64.0,2300,36,72,20,20.1,104.0
Intel Xeon E5-2699 v3 2.30 GHz,64.0,2300,36,72,10,10.0,88.0
Intel Xeon E5-2699 v3 2.30 GHz,64.0,2300,36,72,0,0.0,49.6
Intel Xeon L5430,8.0,2667,8,8,100,99.5,220.0
Intel Xeon L5430,8.0,2667,8,8,90,90.4,212.0
Intel Xeon L5430,8.0,2667,8,8,80,80.0,204.0
Intel Xeon L5430,8.0,2667,8,8,70,69.9,195.0
Intel Xeon L5430,8.0,2667,8,8,60,60.4,187.0
Intel Xeon L5430,8.0,2667,8,8,50,50.5,178.0
Intel Xeon L5430,8.0,2667,8,8,40,40.1,169.0
Intel Xeon L5430,8.0,2667,8,8,30,29.7,160.0
Intel Xeon L5430,8.0,2667,8,8,20,20.0,153.0
Intel Xeon L5430,8.0,2667,8,8,10,10.0,146.0
Intel Xeon L5430,8.0,2667,8,8,0,0.0,138.0
AMD EPYC 7763 2.45 GHz,128.0,2450,64,128,100,99.5,268.0
AMD EPYC 7763 2.45 GHz,128.0,2450,64,128,90,89.9,250.0
AMD EPYC 7763 2.45 GHz,128.0,2450,64,128,80,80.2,231.0
AMD EPYC 7763 2.45 GHz,128.0,2450,64,128,70,70.0,211.0
AMD EPYC 7763 2.45 GHz,128.0,2450,64,128,60,60.1,191.0
AMD EPYC 7763 2.45 GHz,128.0,2450,64,128,50,50.0,162.0
AMD EPYC 7763 2.45 GHz,128.0,2450,64,128,40,40.0,143.0
AMD EPYC 7763 2.45 GHz,128.0,2450,64,128,30,30.0,130.0
AMD EPYC 7763 2.45 GHz,128.0,2450,64,128,20,19.9,116.0
AMD EPYC 7763 2.45 GHz,128.0,2450,64,128,10,10.0,100.0
AMD EPYC 7763 2.45 GHz,128.0,2450,64,128,0,0.0,56.8
Intel Xeon E5-2660 (2.20GHz),32.0,2200,16,32,100,99.7,272.0
Intel Xeon E5-2660 (2.20GHz),32.0,2200,16,32,90,90.0,248.0
Intel Xeon E5-2660 (2.20GHz),32.0,2200,16,32,80,80.1,211.0
Intel Xeon E5-2660 (2.20GHz),32.0,2200,16,32,70,70.0,191.0
Intel Xeon E5-2660 (2.20GHz),32.0,2200,16,32,60,60.2,176.0
Intel Xeon E5-2660 (2.20GHz),32.0,2200,16,32,50,50.0,160.0
Intel Xeon E5-2660 (2.20GHz),32.0,2200,16,32,40,39.7,143.0
Intel Xeon E5-2660 (2.20GHz),32.0,2200,16,32,30,30.0,128.0
Intel Xeon E5-2660 (2.20GHz),32.0,2200,16,32,20,20.1,113.0
Intel Xeon E5-2660 (2.20GHz),32.0,2200,16,32,10,10.1,100.0
Intel Xeon E5-2660 (2.20GHz),32.0,2200,16,32,0,0.0,83.6
Intel Xeon X5670,16.0,2933,12,24,100,99.6,249.0
Intel Xeon X5670,16.0,2933,12,24,90,90.2,231.0
Intel Xeon X5670,16.0,2933,12,24,80,80.1,215.0
Intel Xeon X5670,16.0,2933,12,24,70,69.6,197.0
Intel Xeon X5670,16.0,2933,12,24,60,60.0,182.0
Intel Xeon X5670,16.0,2933,12,24,50,49.9,167.0
Intel Xeon X5670,16.0,2933,12,24,40,39.7,153.0
Intel Xeon X5670,16.0,2933,12,24,30,29.9,139.0
Intel Xeon X5670,16.0,2933,12,24,20,19.8,127.0
Intel Xeon X5670,16.0,2933,12,24,10,10.0,113.0
Intel Xeon X5670,16.0,2933,12,24,0,0.0,74.5
AMD EPYC 7702P 2.00 GHz,128.0,2000,64,128,100,99.5,224.0
AMD EPYC 7702P 2.00 GHz,128.0,2000,64,128,90,90.1,215.0
AMD EPYC 7702P 2.00 GHz,128.0,2000,64,128,80,80.0,205.0
AMD EPYC 7702P 2.00 GHz,128.0,2000,64,128,70,70.0,195.0
AMD EPYC 7702P 2.00 GHz,128.0,2000,64,128,60,60.1,185.0
AMD EPYC 7702P 2.00 GHz,128.0,2000,64,128,50,50.1,174.0
AMD EPYC 7702P 2.00 GHz,128.0,2000,64,128,40,40.0,161.0
AMD EPYC 7702P 2.00 GHz,128.0,2000,64,128,30,30.0,143.0
AMD EPYC 7702P 2.00 GHz,128.0,2000,64,128,20,20.0,125.0
AMD EPYC 7702P 2.00 GHz,128.0,2000,64,128,10,10.0,109.0
AMD EPYC 7702P 2.00 GHz,128.0,2000,64,128,0,0.0,70.3
AMD EPYC 7742 2.25Ghz,128.0,2250,64,128,100,99.7,214.0
AMD EPYC 7742 2.25Ghz,128.0,2250,64,128,90,89.9,201.0
AMD EPYC 7742 2.25Ghz,128.0,2250,64,128,80,80.0,189.0
AMD EPYC 7742 2.25Ghz,128.0,2250,64,128,70,70.2,175.0
AMD EPYC 7742 2.25Ghz,128.0,2250,64,128,60,60.0,161.0
AMD EPYC 7742 2.25Ghz,128.0,2250,64,128,50,50.0,149.0
AMD EPYC 7742 2.25Ghz,128.0,2250,64,128,40,40.1,131.0
AMD EPYC 7742 2.25Ghz,128.0,2250,64,128,30,30.1,120.0
AMD EPYC 7742 2.25Ghz,128.0,2250,64,128,20,20.0,109.0
AMD EPYC 7742 2.25Ghz,128.0,2250,64,128,10,10.0,100.0
AMD EPYC 7742 2.25Ghz,128.0,2250,64,128,0,0.0,51.4
Intel Xeon E5-2470 2.30 GHz (Intel Turbo Boost Technology up to 3.10 GHz),24.0,2300,16,32,100,99.7,274.0
Intel Xeon E5-2470 2.30 GHz (Intel Turbo Boost Technology up to 3.10 GHz),24.0,2300,16,32,90,90.2,232.0
Intel Xeon E5-2470 2.30 GHz (Intel Turbo Boost Technology up to 3.10 GHz),24.0,2300,16,32,80,80.0,199.0
Intel Xeon E5-2470 2.30 GHz (Intel Turbo Boost Technology up to 3.10 GHz),24.0,2300,16,32,70,70.2,173.0
Intel Xeon E5-2470 2.30 GHz (Intel Turbo Boost Technology up to 3.10 GHz),24.0,2300,16,32,60,60.0,149.0
Intel Xeon E5-2470 2.30 GHz (Intel Turbo Boost Technology up to 3.10 GHz),24.0,2300,16,32,50,49.9,129.0
Intel Xeon E5-2470 2.30 GHz (Intel Turbo Boost Technology up to 3.10 GHz),24.0,2300,16,32,40,40.1,114.0
Intel Xeon E5-2470 2.30 GHz (Intel Turbo Boost Technology up to 3.10 GHz),24.0,2300,16,32,30,30.0,103.0
Intel Xeon E5-2470 2.30 GHz (Intel Turbo Boost Technology up to 3.10 GHz),24.0,2300,16,32,20,20.0,93.4
Intel Xeon E5-2470 2.30 GHz (Intel Turbo Boost Technology up to 3.10 GHz),24.0,2300,16,32,10,10.1,83.6
Intel Xeon E5-2470 2.30 GHz (Intel Turbo Boost Technology up to 3.10 GHz),24.0,2300,16,32,0,0.0,62.6
Intel Xeon E5645,16.0,2400,12,24,100,99.1,200.0
Intel Xeon E5645,16.0,2400,12,24,90,90.1,189.0
Intel Xeon E5645,16.0,2400,12,24,80,80.2,176.0
Intel Xeon E5645,16.0,2400,12,24,70,70.2,163.0
Intel Xeon E5645,16.0,2400,12,24,60,59.9,145.0
Intel Xeon E5645,16.0,2400,12,24,50,50.1,132.0
Intel Xeon E5645,16.0,2400,12,24,40,40.0,123.0
Intel Xeon E5645,16.0,2400,12,24,30,30.0,112.0
Intel Xeon E5645,16.0,2400,12,24,20,19.9,103.0
Intel Xeon E5645,16.0,2400,12,24,10,10.1,92.8
Intel Xeon E5645,16.0,2400,12,24,0,0.0,63.1
Intel Xeon E5-2660,24.0,2200,16,32,100,99.8,245.0
Intel Xeon E5-2660,24.0,2200,16,32,90,89.9,216.0
Intel Xeon E5-2660,24.0,2200,16,32,80,80.1,183.0
Intel Xeon E5-2660,24.0,2200,16,32,70,69.9,153.0
Intel Xeon E5-2660,24.0,2200,16,32,60,60.1,132.0
Intel Xeon E5-2660,24.0,2200,16,32,50,50.1,117.0
Intel Xeon E5-2660,24.0,2200,16,32,40,39.9,106.0
Intel Xeon E5-2660,24.0,2200,16,32,30,30.1,95.2
Intel Xeon E5-2660,24.0,2200,16,32,20,20.0,85.4
Intel Xeon E5-2660,24.0,2200,16,32,10,10.0,75.3
Intel Xeon E5-2660,24.0,2200,16,32,0,0.0,54.0
Intel Xeon X5570,8.0,2933,8,16,100,99.9,220.0
Intel Xeon X5570,8.0,2933,8,16,90,89.8,204.0
Intel Xeon X5570,8.0,2933,8,16,80,79.9,186.0
Intel Xeon X5570,8.0,2933,8,16,70,70.3,170.0
Intel Xeon X5570,8.0,2933,8,16,60,59.8,153.0
Intel Xeon X5570,8.0,2933,8,16,50,49.8,141.0
Intel Xeon X5570,8.0,2933,8,16,40,40.1,131.0
Intel Xeon X5570,8.0,2933,8,16,30,30.2,121.0
Intel Xeon X5570,8.0,2933,8,16,20,19.8,111.0
Intel Xeon X5570,8.0,2933,8,16,10,9.8,96.8
Intel Xeon X5570,8.0,2933,8,16,0,0.0,65.0
AMD EPYC 7702P 2.00 GHz,128.0,2000,64,128,100,99.5,230.0
AMD EPYC 7702P 2.00 GHz,128.0,2000,64,128,90,89.9,218.0
AMD EPYC 7702P 2.00 GHz,128.0,2000,64,128,80,80.0,207.0
AMD EPYC 7702P 2.00 GHz,128.0,2000,64,128,70,70.0,195.0
AMD EPYC 7702P 2.00 GHz,128.0,2000,64,128,60,60.0,185.0
AMD EPYC 7702P 2.00 GHz,128.0,2000,64,128,50,50.1,175.0
AMD EPYC 7702P 2.00 GHz,128.0,2000,64,128,40,40.0,164.0
AMD EPYC 7702P 2.00 GHz,128.0,2000,64,128,30,30.0,150.0
AMD EPYC 7702P 2.00 GHz,128.0,2000,64,128,20,20.0,129.0
AMD EPYC 7702P 2.00 GHz,128.0,2000,64,128,10,10.0,114.0
AMD EPYC 7702P 2.00 GHz,128.0,2000,64,128,0,0.0,78.7
AMD EPYC 7763,256.0,2450,128,256,100,99.6,406.0
AMD EPYC 7763,256.0,2450,128,256,90,90.0,349.0
AMD EPYC 7763,256.0,2450,128,256,80,80.0,299.0
AMD EPYC 7763,256.0,2450,128,256,70,70.0,268.0
AMD EPYC 7763,256.0,2450,128,256,60,60.1,249.0
AMD EPYC 7763,256.0,2450,128,256,50,50.0,232.0
AMD EPYC 7763,256.0,2450,128,256,40,39.9,214.0
AMD EPYC 7763,256.0,2450,128,256,30,29.9,198.0
AMD EPYC 7763,256.0,2450,128,256,20,20.0,182.0
AMD EPYC 7763,256.0,2450,128,256,10,10.0,164.0
AMD EPYC 7763,256.0,2450,128,256,0,0.0,122.0
Intel Xeon processor E5345,16.0,2333,8,8,100,99.8,334.0
Intel Xeon processor E5345,16.0,2333,8,8,90,90.1,327.0
Intel Xeon processor E5345,16.0,2333,8,8,80,79.7,318.0
Intel Xeon processor E5345,16.0,2333,8,8,70,69.9,309.0
Intel Xeon processor E5345,16.0,2333,8,8,60,59.9,298.0
Intel Xeon processor E5345,16.0,2333,8,8,50,50.1,286.0
Intel Xeon processor E5345,16.0,2333,8,8,40,40.1,273.0
Intel Xeon processor E5345,16.0,2333,8,8,30,29.7,260.0
Intel Xeon processor E5345,16.0,2333,8,8,20,20.2,248.0
Intel Xeon processor E5345,16.0,2333,8,8,10,10.1,234.0
Intel Xeon processor E5345,16.0,2333,8,8,0,0.0,219.0
Quad-Core AMD Opteron(r) Processor 8376 HE,32.0,2300,32,32,100,99.2,796.0
Quad-Core AMD Opteron(r) Processor 8376 HE,32.0,2300,32,32,90,89.9,765.0
Quad-Core AMD Opteron(r) Processor 8376 HE,32.0,2300,32,32,80,80.2,731.0
Quad-Core AMD Opteron(r) Processor 8376 HE,32.0,2300,32,32,70,70.1,699.0
Quad-Core AMD Opteron(r) Processor 8376 HE,32.0,2300,32,32,60,59.9,662.0
Quad-Core AMD Opteron(r) Processor 8376 HE,32.0,2300,32,32,50,49.9,625.0
Quad-Core AMD Opteron(r) Processor 8376 HE,32.0,2300,32,32,40,40.0,587.0
Quad-Core AMD Opteron(r) Processor 8376 HE,32.0,2300,32,32,30,29.9,542.0
Quad-Core AMD Opteron(r) Processor 8376 HE,32.0,2300,32,32,20,19.9,486.0
Quad-Core AMD Opteron(r) Processor 8376 HE,32.0,2300,32,32,10,10.1,447.0
Quad-Core AMD Opteron(r) Processor 8376 HE,32.0,2300,32,32,0,0.0,427.0
Intel Xeon E5-2470,24.0,2300,16,32,100,100.0,252.0
Intel Xeon E5-2470,24.0,2300,16,32,90,89.9,221.0
Intel Xeon E5-2470,24.0,2300,16,32,80,80.1,188.0
Intel Xeon E5-2470,24.0,2300,16,32,70,69.9,156.0
Intel Xeon E5-2470,24.0,2300,16,32,60,59.8,133.0
Intel Xeon E5-2470,24.0,2300,16,32,50,49.9,116.0
Intel Xeon E5-2470,24.0,2300,16,32,40,39.8,103.0
Intel Xeon E5-2470,24.0,2300,16,32,30,30.0,92.5
Intel Xeon E5-2470,24.0,2300,16,32,20,20.0,82.1
Intel Xeon E5-2470,24.0,2300,16,32,10,10.0,71.0
Intel Xeon E5-2470,24.0,2300,16,32,0,0.0,50.7
Intel Xeon X5670,12.0,2933,12,24,100,99.5,272.0
Intel Xeon X5670,12.0,2933,12,24,90,90.1,253.0
Intel Xeon X5670,12.0,2933,12,24,80,80.0,239.0
Intel Xeon X5670,12.0,2933,12,24,70,70.2,223.0
Intel Xeon X5670,12.0,2933,12,24,60,59.8,201.0
Intel Xeon X5670,12.0,2933,12,24,50,50.1,182.0
Intel Xeon X5670,12.0,2933,12,24,40,40.2,168.0
Intel Xeon X5670,12.0,2933,12,24,30,30.0,151.0
Intel Xeon X5670,12.0,2933,12,24,20,19.9,142.0
Intel Xeon X5670,12.0,2933,12,24,10,10.0,126.0
Intel Xeon X5670,12.0,2933,12,24,0,0.0,73.3
Intel Xeon E5-2660,32.0,2200,16,32,100,100.0,243.0
Intel Xeon E5-2660,32.0,2200,16,32,90,90.1,217.0
Intel Xeon E5-2660,32.0,2200,16,32,80,80.0,181.0
Intel Xeon E5-2660,32.0,2200,16,32,70,70.0,157.0
Intel Xeon E5-2660,32.0,2200,16,32,60,59.9,135.0
Intel Xeon E5-2660,32.0,2200,16,32,50,49.7,117.0
Intel Xeon E5-2660,32.0,2200,16,32,40,40.1,106.0
Intel Xeon E5-2660,32.0,2200,16,32,30,29.9,96.2
Intel Xeon E5-2660,32.0,2200,16,32,20,20.0,86.2
Intel Xeon E5-2660,32.0,2200,16,32,10,10.1,76.3
Intel Xeon E5-2660,32.0,2200,16,32,0,0.0,54.7
Intel Xeon X3470,8.0,2933,4,8,100,99.8,115.0
Intel Xeon X3470,8.0,2933,4,8,90,89.8,108.0
Intel Xeon X3470,8.0,2933,4,8,80,80.0,99.8
Intel Xeon X3470,8.0,2933,4,8,70,69.9,90.3
Intel Xeon X3470,8.0,2933,4,8,60,60.1,82.2
Intel Xeon X3470,8.0,2933,4,8,50,50.3,74.4
Intel Xeon X3470,8.0,2933,4,8,40,39.8,68.9
Intel Xeon X3470,8.0,2933,4,8,30,29.9,60.0
Intel Xeon X3470,8.0,2933,4,8,20,19.9,53.1
Intel Xeon X3470,8.0,2933,4,8,10,10.1,48.9
Intel Xeon X3470,8.0,2933,4,8,0,0.0,43.0
Intel Xeon E5420,16.0,2500,8,8,100,99.0,260.0
Intel Xeon E5420,16.0,2500,8,8,90,90.2,255.0
Intel Xeon E5420,16.0,2500,8,8,80,80.0,247.0
Intel Xeon E5420,16.0,2500,8,8,70,69.8,231.0
Intel Xeon E5420,16.0,2500,8,8,60,60.2,221.0
Intel Xeon E5420,16.0,2500,8,8,50,50.4,214.0
Intel Xeon E5420,16.0,2500,8,8,40,39.9,206.0
Intel Xeon E5420,16.0,2500,8,8,30,30.2,197.0
Intel Xeon E5420,16.0,2500,8,8,20,20.1,185.0
Intel Xeon E5420,16.0,2500,8,8,10,10.0,172.0
Intel Xeon E5420,16.0,2500,8,8,0,0.0,155.0
Intel Xeon E5-2660 2.20 GHz (Intel Turbo Boost Technology up to 3.00 GHz),24.0,2200,16,32,100,98.7,263.0
Intel Xeon E5-2660 2.20 GHz (Intel Turbo Boost Technology up to 3.00 GHz),24.0,2200,16,32,90,90.0,225.0
Intel Xeon E5-2660 2.20 GHz (Intel Turbo Boost Technology up to 3.00 GHz),24.0,2200,16,32,80,80.1,195.0
Intel Xeon E5-2660 2.20 GHz (Intel Turbo Boost Technology up to 3.00 GHz),24.0,2200,16,32,70,70.0,171.0
Intel Xeon E5-2660 2.20 GHz (Intel Turbo Boost Technology up to 3.00 GHz),24.0,2200,16,32,60,60.1,149.0
Intel Xeon E5-2660 2.20 GHz (Intel Turbo Boost Technology up to 3.00 GHz),24.0,2200,16,32,50,50.0,132.0
Intel Xeon E5-2660 2.20 GHz (Intel Turbo Boost Technology up to 3.00 GHz),24.0,2200,16,32,40,40.0,121.0
Intel Xeon E5-2660 2.20 GHz (Intel Turbo Boost Technology up to 3.00 GHz),24.0,2200,16,32,30,30.0,102.0
Intel Xeon E5-2660 2.20 GHz (Intel Turbo Boost Technology up to 3.00 GHz),24.0,2200,16,32,20,19.8,89.6
Intel Xeon E5-2660 2.20 GHz (Intel Turbo Boost Technology up to 3.00 GHz),24.0,2200,16,32,10,10.0,79.3
Intel Xeon E5-2660 2.20 GHz (Intel Turbo Boost Technology up to 3.00 GHz),24.0,2200,16,32,0,0.0,56.1
Intel Xeon Platinum 8280 @ 2.70GHz (Intel Turbo Boost Technology up to 4.00 GHz),192.0,2700,56,112,100,99.7,435.0
Intel Xeon Platinum 8280 @ 2.70GHz (Intel Turbo Boost Technology up to 4.00 GHz),192.0,2700,56,112,90,89.9,385.0
Intel Xeon Platinum 8280 @ 2.70GHz (Intel Turbo Boost Technology up to 4.00 GHz),192.0,2700,56,112,80,80.0,328.0
Intel Xeon Platinum 8280 @ 2.70GHz (Intel Turbo Boost Technology up to 4.00 GHz),192.0,2700,56,112,70,70.0,284.0
Intel Xeon Platinum 8280 @ 2.70GHz (Intel Turbo Boost Technology up to 4.00 GHz),192.0,2700,56,112,60,60.1,246.0
Intel Xeon Platinum 8280 @ 2.70GHz (Intel Turbo Boost Technology up to 4.00 GHz),192.0,2700,56,112,50,50.0,213.0
Intel Xeon Platinum 8280 @ 2.70GHz (Intel Turbo Boost Technology up to 4.00 GHz),192.0,2700,56,112,40,39.9,187.0
Intel Xeon Platinum 8280 @ 2.70GHz (Intel Turbo Boost Technology up to 4.00 GHz),192.0,2700,56,112,30,29.9,166.0
Intel Xeon Platinum 8280 @ 2.70GHz (Intel Turbo Boost Technology up to 4.00 GHz),192.0,2700,56,112,20,20.0,145.0
Intel Xeon Platinum 8280 @ 2.70GHz (Intel Turbo Boost Technology up to 4.00 GHz),192.0,2700,56,112,10,10.0,123.0
Intel Xeon Platinum 8280 @ 2.70GHz (Intel Turbo Boost Technology up to 4.00 GHz),192.0,2700,56,112,0,0.0,64.2
